quantidade,valores_em_circulacao,canonico_esperado,fonte
runs totais,723,723,quantum_runs
hardware_encounters,496,496,hardware_encounters
shots totais,5013322,5013322,quantum_runs
GHZ-8 cadeia otima,0.9163 ± 0.0045 (n=4),0.9163 ± 0.0045,"quantum_runs run_id 628 637-639, backend WK_C180_2, cadeia [38 47 56 65 74 84 75 66]"
GHZ-8 cadeia original,0.8636 ± 0.0114 (n=3),0.8636 ± 0.0114,quantum_runs runs 622-627 WK_C180_2
run 628 parity,0.8496,0.8496,result_payload_json run 628
modelo analitico fidelidade produto,0.8509,0.8509,nota de auditoria
GHZ-8 star ibm_fez sem mitigacao,"0.723 ± 0.064 (n=4); pior run 0.634 (id=96)",0.723 ± 0.064,ghz_ladder_experiments
GHZ-8 star ibm_kingston sem mitigacao,0.812 ± 0.025 (n=26),0.812 ± 0.025,ghz_ladder_experiments
GHZ-8 star ibm_marrakesh sem mitigacao,0.766,0.766,ghz_ladder_experiments
E7 dd_zne agregado ZNE,0.8421 (n=9 re-execucao 2026-07-30),0.8421,ghz_ladder_experiments ghz_coherence_zne
E7 dd_zne scale=2 bruto,0.836 ± 0.005 (n=3),0.836 ± 0.005,ghz_ladder_experiments
E7 dd_zne scale=2 original,0.8426 ± 0.026 (n=3),0.8426 ± 0.026,Tabela Q.9.3 (campanha 2026-07-29)
E7 none baseline original,"0.723 ± 0.064 (n=4); 0.772 ± 0.077 (n=7 incl none r0-r2)",0.772 ± 0.077,ghz_ladder_experiments
C3 borromeano E (ibm_kingston),0.352 ± 0.025 (n=15),0.352 ± 0.025,borromean_knot_experiments counts_json
C4 borromeano E (ibm_kingston),1.213 ± 0.068 (n=15),1.213 ± 0.068,borromean_knot_experiments counts_json
C4 antigo superestimado,1.888,1.888 (retratado),versao pre-errata 2026-08-23
CHSH 360 S_max,2.943 (60;105) com 2590/5184 violacoes,2.943,data/quantum/frontier_experiments.json (Aer ideal kaggle_cpu)
CHSH multi-basis ibm_fez max,2.920,2.920,chsh_multi_basis_experiments
CHSH multi-basis Aer max,2.843,2.843,chsh_multi_basis_experiments
QTDA rsi_borromean beta0,1.536,1.536,qtda_betti_experiments id=26 job_id d9l8t8gii2cc73eh61k0
QTDA rsi_borromean beta1,4.152,4.152,qtda_betti_experiments id=26
QTDA rsi_borromean beta2,4.713,4.713,qtda_betti_experiments id=26
Grover WK_C180_2 2q,>0.999,>0.999,quantum_runs
Grover WK_C180_2 3q,0.9123,0.9123,quantum_runs
Grover WK_C180 3q,0.5893,0.5893,quantum_runs
Kernel ZZ WK_C180 silhouette,0.6412,0.6412,quantum_kernel_experiments
