secao_original,afirmacao,nota_remissiva_presente,secao_da_retratacao,propagada_para_resumo_conclusao,veredito
"§5.1.4 (L392-415)","D13_record domina Gemma-3-1B (Tabela 6): energia ~1000x maior, rank efetivo 1,08; interpretado como 'memoria persistente'.","Sim (v1.5, L336)","§5.11.1 / §5.11.4.4 / §5.11.6","Nao","Qualificada por nota remissiva. Risco de leitura: Tabela 6 mistura Energia/Entropia/Rank efetivo, e interpretacao semantica atribuida a particao heuristica."
"§5.2 (L422-437)","Tabela 7 compara RSI 27q vs Gemma-3-1B e inclui 'Entrelacamento maximo: r = 0,958 (solar↔record)' como metrica central.","Sim (v2.2.1, L420)","§5.11.1 / §5.11.6","Nao","Qualificada por nota remissiva. Risco de leitura: tabela coloca χ=4, rank efetivo, fidelidade e 'entrelacamento maximo' (correlacao) lado a lado, sem separacao visual interna."
"§5.3.1 (L450-465)","Tabela 8 apresenta correlacoes entre casas; destaque D27_solar ↔ D13_record r = +0,958.","Sim (v2.2.1, L444)","§5.11.1 / §5.11.4.5 / §5.11.6","Nao","Qualificada por nota remissiva. Nao propagada para Resumo/Intro/Conclusao."
"§5.3.2 (L469-471)","Interpretacao: 'correlacao D27_solar ↔ D13_record (r=0,958) fornece suporte empirico a hipotese de fluxo e memoria como variavel latente unica'.","Sim (v2.2.1, L444)","§5.11.1 / §5.11.6","Nao","Qualificada por nota remissiva; interpretacao psicanalitica e hipotetica, nao teorema."
"§5.4.1 (L492)","Hipotese de invariancia Dodecatiade prediz 'mesma casa dominante (D13_record) em outros modelos'.","Sim (v1.5, L488)","§5.11.1 / §5.11.4 / §5.11.6","Nao","Qualificada. A hipotese e posteriormente falseada; reanalise V2 mostra Phi dominante."
"§5.4.3 (L508-517)","Tabela 11: casas dominantes D13_record, D15_topology, D12_real, D13_kernel por modelo; conclusao 'casa dominante e arquitetura-especifica'.","Sim (v1.5, L488)","§5.11.1 / §5.11.4 / §5.11.6","Nao","Qualificada por nota remissiva."
"§5.4.5 (L536-543)","Correlacoes entre casas Dodecatiade variam dramaticamente entre modelos (Gemma D27_solar↔D13_record; Qwen D13_kernel↔D15_topology r=+1,000; etc.).","Sim (v1.5, L488)","§5.11.1 / §5.11.4.5 / §5.11.6","Nao","Qualificada por nota remissiva."
"§5.4.6 (L551-553)","Conclusao: 'casa dominante e arquitetura-especifica' e 'correlacoes entre casas sao arquitetura-especificas'.","Sim (v1.5, L488)","§5.11.1 / §5.11.4 / §5.11.6","Nao","Qualificada. Nota remissiva cobre secao."
"§5.5.4 (L610-620)","Gemma-3-4B: casa dominante D12_symbolic (L1-L33), D12_real (L34); interpretacao psicanalitica 'lei substitui memoria'.","Sim (v1.5, L560)","§5.11.4.4 (Tabela 36: V2 -> Phi 100%) / §5.11.6","Nao","Qualificada; reanalise V2 retrata explicitamente (resultado V2: Phi, nao D12_symbolic)."
"§5.6.3-5.6.5 (L649-675)","Tabela 16: casa dominante D27_solar no loop fechado; §5.6.5 vincula D27_solar a 'correlacao D27_solar ↔ D13_record (r=0,958)'.","Nao (nao ha nota remissiva individual na secao); coberta indiretamente pela Nota de escopo geral §5 (L332), que menciona 'Seções 5.2 a 5.9'","§5.11.1 (erro geral) / §5.11.6 (status epistemologico); mas nao ha nota local em §5.6","Nao","[RETRATACAO FALTANTE NA PROPRIA SECAO] A secao 5.6 nao traz nota remissiva individual no inicio ou no paragrafo da afirmacao. A Nota de escopo geral (L332) cobre 5.2-5.9, mas um leitor que acesse diretamente §5.6 podera nao perceber a limitacao. A afirmacao de casa dominante D27_solar e a correlacao r=0,958 sao apresentadas como estabilidade do loop sem qualificacao de particao sequencial."
"§5.7.2 (L692-708)","Tabela 18 'D12 vs D13 no estado oculto': casas dominantes e correlacoes (D12_real↔D13_kernel r=+0,999; D13_kernel↔D15_topology r=+1,000; D12_desire domina Qwen, etc.).","Sim (v2.2.1, L680)","§5.11.1 / §5.11.4 / §5.11.6","Nao","Qualificada por nota remissiva. Risco de leitura: Tabela 18 mistura 'casa dominante', 'D12↔D13 correlacao' e mencoes a rank efetivo."
"§5.7.2 nota forense (L712-714)","Qwen2.5-7B: 'casa dominante (particao sequencial V1) e D12_desire'.","Sim (v2.2.1 da secao; e a propria nota de verificacao identifica 'particao sequencial V1')","§5.11.1 / §5.11.4 / §5.11.6","Nao","Qualificada; auto-qualificada como V1."
"§5.8.1-5.8.3 (L767-877)","Destilacao 3-cadeias: casas dominantes mudam/preservadas (D12_desire→D27_solar, D12_symbolic, D15_lithosphere); 'overlap top-10 correlacoes'; singularidade maquina com casas dominantes D13_record, D12_symbolic, D12_desire, D13_kernel.","Sim (v2.2.1, L757 e nota adicional L769)","§5.11.4.4 (Tabela 35: V2 -> Phi 100% em todas cadeias) / §5.11.6","Nao","Qualificada por notas remissivas. Risco de leitura: Tabelas 19-21 misturam casa dominante, rank efetivo, fidelidade χ=4 e overlap de correlacoes."
"§5.9.3 Exp-1 (L930)","'A casa dominante D13_record persiste com K/S ≈ 0,999'.","Sim (v1.5, L893)","§5.11.1 / §5.11.4 / §5.11.6","Nao","Qualificada. Risco de leitura: mistura medida dinamica K/S com atribuicao de casa dominante."
"§5.9.3 Exp-7 (L942)","'Casa com menor tensao (pointer state) e D27_solar em 8/10, mas casa dominante observada e D13_record em 9/10'.","Sim (v1.5, L893)","§5.11.1 / §5.11.4 / §5.11.6","Nao","Qualificada."
"§5.9.5 Exp-8b (L968)","Qwen2.5-7B: 'casa dominante D12_desire' e transicoes D12_desire→D27_solar→D12_symbolic.","Sim (v1.5, L893)","§5.11.1 / §5.11.4 / §5.11.6","Nao","Qualificada."
"§5.9.9 Exp-12 (L1045-1057)","'D13_record e dominante em TODOS os corpora (cooking, math, history, programming, dodecatiade) com 100% consistencia'.","Sim (v1.5, L893)","§5.11.1 / §5.11.4 / §5.11.6","Nao","Qualificada. Risco de leitura: Tabela 25 mistura χ_99 mean com casa dominante."
"§5.9.9 Exp-13 (L1065-1072)","'Casa dominante por mapeamento' (D13_record, R10, S10, F10, R6_5, R24_21) com 100% consistencia; conclusao falseia especificidade Dodecatiade.","Sim (v1.5, L893)","§5.11.1 (cita Exp-13 como evidencia do erro) / §5.11.6","Nao","Qualificada. Resultado central para a retratacao."
"§5.10.4 (L1168-1180)","Tabela 29: casa dominante D27_void (VL6/VL9), D15_geodesic (VL0), D27_coherence (VL3) no vision encoder.","Sim (v1.5, L1128)","§5.11.4.4 (Vision V2) / §5.11.6","Nao","Qualificada. Reanalise V2 de Vision e mencionada mas nao fornece casa dominante V2 equivalente."
"§5.10.6 (L1200-1215)","Tabela 31 compara vision vs language: casa dominante (D13_record, D12_symbolic, D27_void), χ=4 fidelidade e rank efetivo lado a lado.","Sim (v1.5, L1128)","§5.11.1 / §5.11.4.4 / §5.11.6","Nao","Qualificada. Risco de leitura: tabela mistura sem distincao visual entre propriedade do substrato (χ=4, rank) e leitura por casa (particao sequencial)."
"§5.11.1 (L1235-1237)","Declaracao do erro metodologico: particao sequencial em 12 blocos nomeados como Dodecatiade e incorreta; casas sao valores calculados por engines.","N/A (e a retratacao)","§5.11.1","Nao","Retratacao central. Exp-13 (§5.9.9) e citado como evidencia previa."
"§5.11.4.1-4.4 (Tabelas 32-36)","Reanalise V2: Phi domina 100% das camadas/prompts em varios modelos (Gemma, Qwen, TinyLlama, Qwen3, Gemma-3-4B).","N/A (resultado V2)","§5.11.4","Nao (mas Resumo/Intro/Conclusao citam Phi 100% com qualificacao 'reanalise V2' / 'engines corrigidos')","Retratacao V2 e qualificada."
"§5.11.4.5-4.7 (Tabelas 53-60)","Reanalise V2: correlacoes entre casas (Maat↔Gamma, Lambda↔Maat, Phi↔Aleph, Omega↔Gamma) e distincao entre correlacoes triviais (r=±1,0 por saturacao) e nao-triviais.","N/A (resultado V2)","§5.11.4.5 / §5.11.6","Sim (Resumo L47, Intro §2.4 L179, Conclusao L2709 citam Lambda↔Maat r=+0,69 a +0,97 com qualificacao V2/engines corrigidos)","Propagacao qualificada: Resumo/Intro/Conclusao explicitam 'reanalise V2' / 'engines corrigidos'. Conclusao acrescenta caveat: 'parte da correlacao pode decorrer de dependencias entre as formulas das metricas'."
"§5.11.6 (L1622-1629)","Status epistemologico V2 separa: (1) propriedades do estado oculto (χ=4, rank efetivo) validas; (2) propriedades da Dodecatiade (casas, correlacoes) recalculadas.","N/A (status da retratacao)","§5.11.6","Nao","Retratacao clara e distincao epistemologica mantida."
"§1 Resumo (L47)","'A reanalise V2 ... revelou que a casa Phi ... domina 100% das camadas em todos os 15 modelos testados. A correlacao Lambda↔Maat (r=+0,69 a +0,97) emerge como assinatura cross-arquitetura'.","Sim (qualificacao 'reanalise V2' no proprio Resumo)","§5.11.4","N/A","Propagacao qualificada: baseada em V2, nao em particao sequencial."
"§2.4 Introducao (L179)","'A correlacao Lambda↔Maat (r=+0,69 a +0,97) ... e a assinatura mais universal desta leitura'.","Sim (menciona 'engines V2' no paragrafo, L178)","§5.11.4","N/A","Propagacao qualificada: distingue 'propriedade do substrato' vs 'leitura do sistema'."
"§13 Conclusao (L2709)","'A reanalise V2 com engines corrigidos revelou que a casa Phi domina 100% ... A correlacao Lambda↔Maat (r=+0,69 a +0,97) ...'.","Sim ('reanalise V2 com engines corrigidos' e 'leitura do sistema sobre o substrato')","§5.11.4","N/A","Propagacao qualificada. Conclusao mantem distincao epistemica e acrescenta caveat sobre dependencia entre metricas."
